Original File Name,Phase,Asset Type,Bike Model,Description,Text Overlay,Orientation,Dimensions,File Extension,New Asset Name
DF25_000257027_1.mp4,Phase1,Video,R1300RS,sunset-riding,no-text,landscape,3840x2160,.mp4,Phase1_Video_R1300RS_sunset-riding_no-text_landscape_3840x2160.mp4
DF25_000257027_2.mp4,Phase1,Video,R1300RS,sunset-riding,text,portrait,1080x1920,.mp4,Phase1_Video_R1300RS_sunset-riding_text_portrait_1080x1920.mp4
DF25_000257027_3.mp4,Phase1,Video,R1300RS,sunset-riding,no-text,portrait,1080x1920,.mp4,Phase1_Video_R1300RS_sunset-riding_no-text_portrait_1080x1920.mp4
DF25_000257027_5.mp4,Phase1,Video,R1300RS,sunset-riding,no-text,square,1080x1350,.mp4,Phase1_Video_R1300RS_sunset-riding_no-text_square_1080x1350.mp4
DF25_000257027.mp4,Phase1,Video,R1300RS,sunset-riding,text,landscape,3840x2160,.mp4,Phase1_Video_R1300RS_sunset-riding_text_landscape_3840x2160.mp4
DF25_000257122_1.mp4,Phase1,Video,R1300RS,sunset-riding,no-text,square,1080x1350,.mp4,Phase1_Video_R1300RS_sunset-riding_no-text_square_1080x1350.mp4
DF25_000257122.mp4,Phase1,Video,R1300RS,sunset-riding,no-text,portrait,1080x1920,.mp4,Phase1_Video_R1300RS_sunset-riding_no-text_portrait_1080x1920.mp4
DF25_000257123_1.mp4,Phase1,Video,R1300RS,close-up,no-text,square,1080x1350,.mp4,Phase1_Video_R1300RS_close-up_no-text_square_1080x1350.mp4
DF25_000257123.mp4,Phase1,Video,R1300RS,close-up,no-text,portrait,1080x1920,.mp4,Phase1_Video_R1300RS_close-up_no-text_portrait_1080x1920.mp4
DI25_000256951.tif,Phase1,Static,R1300RS,side-on,no-text,landscape,4096x2840,.tif,Phase1_Static_R1300RS_side-on_no-text_landscape_4096x2840.tif
DI25_000257103.tif,Phase1,Static,R1300RS,riding-multiple,no-text,landscape,4096x2840,.tif,Phase1_Static_R1300RS_riding-multiple_no-text_landscape_4096x2840.tif
DI25_000257104.tif,Phase1,Static,R1300RS,riding-front,no-text,landscape,4096x2840,.tif,Phase1_Static_R1300RS_riding-front_no-text_landscape_4096x2840.tif
DI25_000257105.tif,Phase1,Static,R1300RS,riding-side,no-text,square,4096x4096,.tif,Phase1_Static_R1300RS_riding-side_no-text_square_4096x4096.tif
DI25_000257106.tif,Phase1,Static,R1300RS,riding-away,no-text,landscape,4096x2840,.tif,Phase1_Static_R1300RS_riding-away_no-text_landscape_4096x2840.tif
DI25_000257107.tif,Phase1,Static,R1300RS,riding-away,no-text,landscape,4096x2840,.tif,Phase1_Static_R1300RS_riding-away_no-text_landscape_4096x2840.tif
DI25_000257109.tif,Phase1,Static,R1300RS,riding-through-arch,no-text,landscape,4096x2840,.tif,Phase1_Static_R1300RS_riding-through-arch_no-text_landscape_4096x2840.tif
DI25_000257110.tif,Phase1,Static,R1300RS,riding-curve,no-text,landscape,4096x2840,.tif,Phase1_Static_R1300RS_riding-curve_no-text_landscape_4096x2840.tif
DI25_000257111.tif,Phase1,Static,R1300RS,riding-twist,no-text,landscape,4096x2840,.tif,Phase1_Static_R1300RS_riding-twist_no-text_landscape_4096x2840.tif
DI25_000257113.tif,Phase1,Static,R1300RS,static-bike,no-text,landscape,4096x2840,.tif,Phase1_Static_R1300RS_static-bike_no-text_landscape_4096x2840.tif
DI25_000257114.tif,Phase1,Static,R1300RS,static-bike,no-text,landscape,4096x2840,.tif,Phase1_Static_R1300RS_static-bike_no-text_landscape_4096x2840.tif
DI25_000257115.tif,Phase1,Static,R1300RS,with-rider,no-text,landscape,4096x2840,.tif,Phase1_Static_R1300RS_with-rider_no-text_landscape_4096x2840.tif
